
📺央视频道,#genre#
浙江卫视,http://116.237.125.143/rtp/239.45.3.178:5140$上海电信组播源-cache:116.237.125.143
浙江卫视,http://222.64.233.176/rtp/239.45.3.178:5140$上海电信组播源-cache:222.64.233.176
浙江卫视,http://222.70.21.43/rtp/239.45.3.178:5140$上海电信组播源-cache:222.70.21.43
浙江卫视,http://58.37.252.90/rtp/239.45.3.178:5140$上海电信组播源-cache:58.37.252.90
浙江卫视,http://116.235.85.69/rtp/239.45.3.178:5140$上海电信组播源-cache:116.235.85.69
浙江卫视,http://139.196.214.238/rtp/239.45.3.178:5140$上海电信组播源-cache:139.196.214.238
湖南卫视,http://222.67.177.132/rtp/239.45.3.228:5140$上海电信组播源-cache:222.67.177.132
湖南卫视,http://222.68.37.58/rtp/239.45.3.228:5140$上海电信组播源-cache:222.68.37.58
湖南卫视,http://58.37.123.53/rtp/239.45.3.228:5140$上海电信组播源-cache:58.37.123.53
湖南卫视,http://116.226.193.197/rtp/239.45.3.228:5140$上海电信组播源-cache:116.226.193.197
湖南卫视,http://116.237.125.143/rtp/239.45.3.228:5140$上海电信组播源-cache:116.237.125.143
湖南卫视,http://222.64.233.176/rtp/239.45.3.228:5140$上海电信组播源-cache:222.64.233.176
湖南卫视,http://222.70.21.43/rtp/239.45.3.228:5140$上海电信组播源-cache:222.70.21.43
湖南卫视,http://58.37.252.90/rtp/239.45.3.228:5140$上海电信组播源-cache:58.37.252.90
湖南卫视,http://116.235.85.69/rtp/239.45.3.228:5140$上海电信组播源-cache:116.235.85.69
湖南卫视,http://139.196.214.238/rtp/239.45.3.228:5140$上海电信组播源-cache:139.196.214.238
北京卫视,http://222.67.177.132/rtp/239.45.3.229:5140$上海电信组播源-cache:222.67.177.132
北京卫视,http://222.68.37.58/rtp/239.45.3.229:5140$上海电信组播源-cache:222.68.37.58
北京卫视,http://58.37.123.53/rtp/239.45.3.229:5140$上海电信组播源-cache:58.37.123.53
北京卫视,http://116.226.193.197/rtp/239.45.3.229:5140$上海电信组播源-cache:116.226.193.197
北京卫视,http://116.237.125.143/rtp/239.45.3.229:5140$上海电信组播源-cache:116.237.125.143
北京卫视,http://222.64.233.176/rtp/239.45.3.229:5140$上海电信组播源-cache:222.64.233.176
北京卫视,http://222.70.21.43/rtp/239.45.3.229:5140$上海电信组播源-cache:222.70.21.43
北京卫视,http://58.37.252.90/rtp/239.45.3.229:5140$上海电信组播源-cache:58.37.252.90
北京卫视,http://116.235.85.69/rtp/239.45.3.229:5140$上海电信组播源-cache:116.235.85.69
北京卫视,http://139.196.214.238/rtp/239.45.3.229:5140$上海电信组播源-cache:139.196.214.238
湖北卫视,http://222.67.177.132/rtp/239.45.3.239:5140$上海电信组播源-cache:222.67.177.132
湖北卫视,http://222.68.37.58/rtp/239.45.3.239:5140$上海电信组播源-cache:222.68.37.58
湖北卫视,http://58.37.123.53/rtp/239.45.3.239:5140$上海电信组播源-cache:58.37.123.53
湖北卫视,http://116.226.193.197/rtp/239.45.3.239:5140$上海电信组播源-cache:116.226.193.197
湖北卫视,http://116.237.125.143/rtp/239.45.3.239:5140$上海电信组播源-cache:116.237.125.143
湖北卫视,http://222.64.233.176/rtp/239.45.3.239:5140$上海电信组播源-cache:222.64.233.176
湖北卫视,http://222.70.21.43/rtp/239.45.3.239:5140$上海电信组播源-cache:222.70.21.43
湖北卫视,http://58.37.252.90/rtp/239.45.3.239:5140$上海电信组播源-cache:58.37.252.90
湖北卫视,http://116.235.85.69/rtp/239.45.3.239:5140$上海电信组播源-cache:116.235.85.69
湖北卫视,http://139.196.214.238/rtp/239.45.3.239:5140$上海电信组播源-cache:139.196.214.238
黑龙江卫视,http://222.67.177.132/rtp/239.45.3.232:5140$上海电信组播源-cache:222.67.177.132
黑龙江卫视,http://222.68.37.58/rtp/239.45.3.232:5140$上海电信组播源-cache:222.68.37.58
黑龙江卫视,http://58.37.123.53/rtp/239.45.3.232:5140$上海电信组播源-cache:58.37.123.53
黑龙江卫视,http://116.226.193.197/rtp/239.45.3.232:5140$上海电信组播源-cache:116.226.193.197
黑龙江卫视,http://116.237.125.143/rtp/239.45.3.232:5140$上海电信组播源-cache:116.237.125.143
黑龙江卫视,http://222.64.233.176/rtp/239.45.3.232:5140$上海电信组播源-cache:222.64.233.176
黑龙江卫视,http://222.70.21.43/rtp/239.45.3.232:5140$上海电信组播源-cache:222.70.21.43
黑龙江卫视,http://58.37.252.90/rtp/239.45.3.232:5140$上海电信组播源-cache:58.37.252.90
黑龙江卫视,http://116.235.85.69/rtp/239.45.3.232:5140$上海电信组播源-cache:116.235.85.69
黑龙江卫视,http://139.196.214.238/rtp/239.45.3.232:5140$上海电信组播源-cache:139.196.214.238
安徽卫视,http://222.67.177.132/rtp/239.45.1.120:5140$上海电信组播源-cache:222.67.177.132
安徽卫视,http://222.68.37.58/rtp/239.45.1.120:5140$上海电信组播源-cache:222.68.37.58
安徽卫视,http://58.37.123.53/rtp/239.45.1.120:5140$上海电信组播源-cache:58.37.123.53
安徽卫视,http://116.226.193.197/rtp/239.45.1.120:5140$上海电信组播源-cache:116.226.193.197
安徽卫视,http://116.237.125.143/rtp/239.45.1.120:5140$上海电信组播源-cache:116.237.125.143
安徽卫视,http://222.64.233.176/rtp/239.45.1.120:5140$上海电信组播源-cache:222.64.233.176
安徽卫视,http://222.70.21.43/rtp/239.45.1.120:5140$上海电信组播源-cache:222.70.21.43
安徽卫视,http://58.37.252.90/rtp/239.45.1.120:5140$上海电信组播源-cache:58.37.252.90
安徽卫视,http://116.235.85.69/rtp/239.45.1.120:5140$上海电信组播源-cache:116.235.85.69
安徽卫视,http://139.196.214.238/rtp/239.45.1.120:5140$上海电信组播源-cache:139.196.214.238
重庆卫视,http://222.67.177.132/rtp/239.45.1.84:5140$上海电信组播源-cache:222.67.177.132
重庆卫视,http://222.68.37.58/rtp/239.45.1.84:5140$上海电信组播源-cache:222.68.37.58
重庆卫视,http://58.37.123.53/rtp/239.45.1.84:5140$上海电信组播源-cache:58.37.123.53
重庆卫视,http://116.226.193.197/rtp/239.45.1.84:5140$上海电信组播源-cache:116.226.193.197
重庆卫视,http://116.237.125.143/rtp/239.45.1.84:5140$上海电信组播源-cache:116.237.125.143
重庆卫视,http://222.64.233.176/rtp/239.45.1.84:5140$上海电信组播源-cache:222.64.233.176
重庆卫视,http://222.70.21.43/rtp/239.45.1.84:5140$上海电信组播源-cache:222.70.21.43
重庆卫视,http://58.37.252.90/rtp/239.45.1.84:5140$上海电信组播源-cache:58.37.252.90
重庆卫视,http://116.235.85.69/rtp/239.45.1.84:5140$上海电信组播源-cache:116.235.85.69
重庆卫视,http://139.196.214.238/rtp/239.45.1.84:5140$上海电信组播源-cache:139.196.214.238
东方卫视,http://222.67.177.132/rtp/239.45.3.146:5140$上海电信组播源-cache:222.67.177.132
东方卫视,http://222.68.37.58/rtp/239.45.3.146:5140$上海电信组播源-cache:222.68.37.58
东方卫视,http://58.37.123.53/rtp/239.45.3.146:5140$上海电信组播源-cache:58.37.123.53
东方卫视,http://116.226.193.197/rtp/239.45.3.146:5140$上海电信组播源-cache:116.226.193.197
东方卫视,http://116.237.125.143/rtp/239.45.3.146:5140$上海电信组播源-cache:116.237.125.143
东方卫视,http://222.64.233.176/rtp/239.45.3.146:5140$上海电信组播源-cache:222.64.233.176
东方卫视,http://222.70.21.43/rtp/239.45.3.146:5140$上海电信组播源-cache:222.70.21.43
东方卫视,http://58.37.252.90/rtp/239.45.3.146:5140$上海电信组播源-cache:58.37.252.90
东方卫视,http://116.235.85.69/rtp/239.45.3.146:5140$上海电信组播源-cache:116.235.85.69
东方卫视,http://139.196.214.238/rtp/239.45.3.146:5140$上海电信组播源-cache:139.196.214.238
东南卫视,http://222.67.177.132/rtp/239.45.1.121:5140$上海电信组播源-cache:222.67.177.132
东南卫视,http://222.68.37.58/rtp/239.45.1.121:5140$上海电信组播源-cache:222.68.37.58
